game_id,game_date,team_id,team_name,opponent_id,opponent_name,home_away,actual_margin,current_city,previous_city,games_last_7,games_last_14,density_score,days_since_last_game,travel_miles,travel_load,fatigue_index,fatigue_tier,expected_margin,pve,base_form_diff,win_diff,home_away_adj,fatigue_adj,expected_raw,expected_total
18447561,2026-02-06 00:00:00+00:00,17,Milwaukee Bucks,12,Indiana Pacers,H,6,Milwaukee,Milwaukee,3,6,45.2,2,0.0,1,44.3,Elevated,5.72,0.28,2.45,0.6,4.5,-1.33,6.22,5.72
18447562,2026-02-06 00:00:00+00:00,18,Minnesota Timberwolves,19,New Orleans Pelicans,H,-4,Minneapolis,Toronto,3,7,52.2,2,692.4,2,54.2,High,9.22,-13.22,7.02,2.29,4.5,-1.63,12.18,9.22
18447562,2026-02-06 00:00:00+00:00,19,New Orleans Pelicans,18,Minnesota Timberwolves,A,4,Minneapolis,Milwaukee,4,6,68.0,2,297.9,1,64.8,High,-10.38,14.38,-7.02,-2.29,-4.5,-1.94,-15.75,-10.38
18447563,2026-02-06 00:00:00+00:00,15,Memphis Grizzlies,25,Portland Trail Blazers,A,-20,Portland,Sacramento,4,7,75.0,2,484.0,2,74.7,Critical,1.01,-1.58,5.75,2.0,-4.5,-2.24,1.01,1.01
18447563,2026-02-06 00:00:00+00:00,25,Portland Trail Blazers,15,Memphis Grizzlies,H,20,Portland,Portland,3,5,38.2,3,0.0,1,32.9,Elevated,-4.07,24.07,-5.75,-2.0,4.5,-0.99,-4.24,-4.07
18447564,2026-02-06 00:00:00+00:00,13,LA Clippers,26,Sacramento Kings,A,3,Sacramento,Los Angeles,4,6,68.0,2,361.4,2,68.4,High,5.74,-2.74,10.4,2.4,-4.5,-2.05,6.25,5.74
18447564,2026-02-06 00:00:00+00:00,26,Sacramento Kings,13,LA Clippers,H,-3,Sacramento,Sacramento,3,6,45.2,2,0.0,1,44.3,Elevated,-7.98,1.49,-10.4,-2.4,4.5,-1.33,-9.63,-7.98
22500001,2025-10-21 00:00:00+00:00,1610612745,Houston Rockets,1610612760,Oklahoma City Thunder,A,-1,Oklahoma City,,0,0,10.0,5,,0,5.0,Low,-4.43,3.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
22500001,2025-10-21 00:00:00+00:00,1610612760,Oklahoma City Thunder,1610612745,Houston Rockets,H,1,Oklahoma City,,0,0,10.0,5,,0,5.0,Low,4.17,-3.17,0.0,0.0,4.5,-0.15,4.35,4.17
22500002,2025-10-21 00:00:00+00:00,1610612744,Golden State Warriors,1610612747,Los Angeles Lakers,A,10,Los Angeles,,0,0,10.0,5,,0,5.0,Low,-4.43,14.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
22500002,2025-10-21 00:00:00+00:00,1610612747,Los Angeles Lakers,1610612744,Golden State Warriors,H,-10,Los Angeles,,0,0,10.0,5,,0,5.0,Low,4.17,-14.17,0.0,0.0,4.5,-0.15,4.35,4.17
22500003,2025-10-22 00:00:00+00:00,1610612739,Cleveland Cavaliers,1610612752,New York Knicks,A,-8,New York,,0,0,10.0,5,,0,5.0,Low,-4.43,-3.57,0.0,0.0,-4.5,-0.15,-4.65,-4.43
22500003,2025-10-22 00:00:00+00:00,1610612752,New York Knicks,1610612739,Cleveland Cavaliers,H,8,New York,,0,0,10.0,5,,0,5.0,Low,4.17,3.83,0.0,0.0,4.5,-0.15,4.35,4.17
22500004,2025-10-22 00:00:00+00:00,1610612742,Dallas Mavericks,1610612759,San Antonio Spurs,H,-33,Dallas,,0,0,10.0,5,,0,5.0,Low,4.17,-9.29,0.0,0.0,4.5,-0.15,4.35,4.17
22500004,2025-10-22 00:00:00+00:00,1610612759,San Antonio Spurs,1610612742,Dallas Mavericks,A,33,Dallas,,0,0,10.0,5,,0,5.0,Low,-4.43,37.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
22500005,2025-10-23 00:00:00+00:00,1610612754,Indiana Pacers,1610612760,Oklahoma City Thunder,H,-6,Indianapolis,,0,0,10.0,5,,0,5.0,Low,0.35,-6.35,-1.0,-3.0,4.5,-0.15,0.35,0.35
22500005,2025-10-23 00:00:00+00:00,1610612760,Oklahoma City Thunder,1610612754,Indiana Pacers,A,6,Indianapolis,Oklahoma City,1,1,10.0,2,688.4,2,16.2,Low,-0.98,6.98,1.0,3.0,-4.5,-0.49,-0.99,-0.98
22500006,2025-10-23 00:00:00+00:00,1610612743,Denver Nuggets,1610612744,Golden State Warriors,A,-6,San Francisco,,0,0,10.0,5,,0,5.0,Low,-10.8,4.8,-10.0,-3.0,-4.5,-0.15,-17.65,-10.8
22500006,2025-10-23 00:00:00+00:00,1610612744,Golden State Warriors,1610612743,Denver Nuggets,H,6,San Francisco,Los Angeles,1,1,10.0,2,345.5,2,16.2,Low,10.67,-4.67,10.0,3.0,4.5,-0.49,17.01,10.67
22500007,2025-10-27 00:00:00+00:00,1610612739,Cleveland Cavaliers,1610612765,Detroit Pistons,A,21,Detroit,Cleveland,3,3,29.5,1,91.4,1,41.5,Elevated,-5.86,26.86,-0.67,0.0,-4.5,-1.24,-6.41,-5.86
22500007,2025-10-27 00:00:00+00:00,1610612765,Detroit Pistons,1610612739,Cleveland Cavaliers,H,-21,Detroit,Detroit,3,3,29.5,1,0.0,1,41.5,Elevated,3.79,-6.2,0.67,0.0,4.5,-1.24,3.92,3.79
22500008,2025-10-27 00:00:00+00:00,1610612743,Denver Nuggets,1610612750,Minnesota Timberwolves,A,13,Minneapolis,Denver,2,2,10.0,2,698.5,2,16.2,Low,5.02,7.98,11.33,-1.0,-4.5,-0.49,5.35,5.02
22500008,2025-10-27 00:00:00+00:00,1610612750,Minnesota Timberwolves,1610612743,Denver Nuggets,H,-13,Minneapolis,Minneapolis,3,3,29.5,1,0.0,1,41.5,Elevated,-6.36,-6.64,-11.33,1.0,4.5,-1.24,-7.08,-6.36
22500009,2025-12-25 00:00:00+00:00,1610612739,Cleveland Cavaliers,1610612752,New York Knicks,A,-2,New York,Cleveland,3,6,45.2,2,403.7,2,47.9,Elevated,-10.0,5.0,-7.27,-1.2,-4.5,-1.44,-14.4,-10.0
22500009,2025-12-25 00:00:00+00:00,1610612752,New York Knicks,1610612739,Cleveland Cavaliers,H,2,New York,Minneapolis,4,6,68.0,2,1016.5,3,72.0,Critical,8.6,-6.6,7.27,1.2,4.5,-2.16,10.81,8.6
