game_date,matchup,environment_risk,environment_label,drivers,load_risk,behavior_risk,matchup_risk
2025-12-23,Toronto Raptors @ Miami Heat,0.216,Clean,"fatigue load, volatile teams",0.604,0.832,0.42
2025-12-23,Washington Wizards @ Charlotte Hornets,0.218,Clean,volatile teams,0.43,1.0,0.546
2025-12-25,Cleveland Cavaliers @ New York Knicks,0.255,Mixed,"fatigue load, volatile teams",0.84,0.907,0.352
2025-12-25,Dallas Mavericks @ Golden State Warriors,0.223,Clean,"fatigue load, volatile teams",0.604,0.83,0.532
2025-12-25,Houston Rockets @ Los Angeles Lakers,0.178,Clean,volatile teams,0.232,1.0,0.405
2025-12-25,Minnesota Timberwolves @ Denver Nuggets,0.224,Clean,"fatigue load, volatile teams",0.604,0.893,0.432
2025-12-25,San Antonio Spurs @ Oklahoma City Thunder,0.263,Mixed,"fatigue load, volatile teams",0.84,1.0,0.304
2025-12-26,Boston Celtics @ Indiana Pacers,0.251,Mixed,"fatigue load, volatile teams",0.684,1.0,0.47
2025-12-26,Charlotte Hornets @ Orlando Magic,0.221,Clean,"fatigue load, volatile teams",0.604,1.0,0.203
2025-12-26,Detroit Pistons @ Utah Jazz,0.218,Clean,"fatigue load, volatile teams",0.604,1.0,0.167
2025-12-26,LA Clippers @ Portland Trail Blazers,0.216,Clean,volatile teams,0.404,1.0,0.576
2025-12-26,Miami Heat @ Atlanta Hawks,0.159,Clean,volatile teams,0.304,0.915,0.1
2025-12-26,Milwaukee Bucks @ Memphis Grizzlies,0.265,Mixed,"fatigue load, volatile teams, mismatch",0.684,1.0,0.692
2025-12-26,Philadelphia 76ers @ Chicago Bulls,0.169,Clean,volatile teams,0.16,0.932,0.54
2025-12-26,Phoenix Suns @ New Orleans Pelicans,0.262,Mixed,"fatigue load, volatile teams, mismatch",0.684,1.0,0.642
2025-12-26,Toronto Raptors @ Washington Wizards,0.168,Clean,volatile teams,0.304,1.0,0.088
2025-12-27,Brooklyn Nets @ Minnesota Timberwolves,0.222,Clean,"volatile teams, mismatch",0.358,1.0,0.768
2025-12-27,Cleveland Cavaliers @ Houston Rockets,0.244,Clean,"fatigue load, volatile teams",0.696,1.0,0.35
2025-12-27,Dallas Mavericks @ Sacramento Kings,0.256,Mixed,"fatigue load, volatile teams",0.84,0.845,0.468
2025-12-27,Denver Nuggets @ Orlando Magic,0.232,Clean,"fatigue load, volatile teams",0.768,0.779,0.383
2025-12-27,Indiana Pacers @ Miami Heat,0.147,Clean,volatile teams,0.168,1.0,0.075
2025-12-27,Milwaukee Bucks @ Chicago Bulls,0.185,Clean,volatile teams,0.23,1.0,0.51
2025-12-27,New York Knicks @ Atlanta Hawks,0.264,Mixed,"fatigue load, volatile teams",0.84,0.898,0.493
2025-12-27,Phoenix Suns @ New Orleans Pelicans,0.172,Clean,volatile teams,0.184,1.0,0.413
2025-12-27,Utah Jazz @ San Antonio Spurs,0.256,Mixed,"fatigue load, volatile teams",0.768,0.957,0.443
2025-12-28,Boston Celtics @ Portland Trail Blazers,0.136,Clean,volatile teams,0.058,1.0,0.164
2025-12-28,Detroit Pistons @ LA Clippers,0.184,Clean,volatile teams,0.23,1.0,0.494
2025-12-28,Golden State Warriors @ Toronto Raptors,0.161,Clean,volatile teams,0.184,1.0,0.249
2025-12-28,Memphis Grizzlies @ Washington Wizards,0.173,Clean,volatile teams,0.292,1.0,0.185
2025-12-28,Philadelphia 76ers @ Oklahoma City Thunder,0.257,Mixed,"fatigue load, volatile teams, mismatch",0.642,1.0,0.666
2025-12-28,Sacramento Kings @ Los Angeles Lakers,0.138,Clean,volatile teams,0.076,1.0,0.147
2025-12-29,Atlanta Hawks @ Oklahoma City Thunder,0.234,Clean,volatile teams,0.544,1.0,0.539
2025-12-29,Cleveland Cavaliers @ San Antonio Spurs,0.188,Clean,volatile teams,0.484,0.939,0.082
2025-12-29,Dallas Mavericks @ Portland Trail Blazers,0.209,Clean,"fatigue load, volatile teams",0.696,0.752,0.26
